seq_len,mean_ms,min_ms,max_ms,workspace_MB,peak_MB,max_abs_err
128,0.168909,0.163776,0.176704,2,442.062,skip
256,0.229632,0.22544,0.232448,4,446.062,skip
512,0.351328,0.34592,0.357088,8,450.062,skip
1024,0.616054,0.614208,0.617248,16,460.062,skip
2048,1.13369,1.13066,1.1376,32,480.062,skip
4096,2.13457,2.13066,2.15158,64,520.062,skip
8192,4.1775,4.17574,4.17917,128,600.062,skip
