impl,seq_len,mean_ms,min_ms,max_ms,workspace_MB,peak_MB,max_abs_err
flash_attn_official,128,0.275,0.265,0.295,12.9,12.9,skip
flash_attn_official,256,0.265,0.257,0.272,14.6,14.6,skip
flash_attn_official,512,0.267,0.261,0.282,19.2,19.2,skip
flash_attn_official,1024,0.275,0.272,0.282,31.3,31.3,skip
flash_attn_official,2048,0.449,0.447,0.457,39.1,39.1,skip
flash_attn_official,4096,0.895,0.893,0.898,67.1,67.1,skip
flash_attn_official,8192,2.061,2.057,2.064,123.1,123.1,skip
