seq_len,mean_ms,min_ms,max_ms,workspace_MB,peak_MB,max_abs_err
128,0.235626,0.233184,0.241216,3.75,444.062,skip
256,0.514144,0.513088,0.5152,7.5,448.062,skip
512,1.21882,1.21421,1.22278,15,458.062,skip
1024,2.62935,2.62374,2.63318,30,474.062,skip
2048,5.42232,5.41872,5.42854,60,508.062,skip
4096,9.64298,8.58307,11.0117,120,576.062,skip
8192,17.2548,17.2517,17.258,240,712.062,skip
