seq_len,mean_ms,min_ms,max_ms,workspace_MB,peak_MB,max_abs_err,mean_abs_err,mean_rel_err
128,0.167459,0.167168,0.168128,2.25,442.062,0.0104523,3.15873e-05,1.90568e-05
256,0.225466,0.224768,0.227552,5.5,446.062,0.0182781,3.81617e-05,1.51652e-05
512,0.36784,0.366944,0.369152,15,458.062,0.0301142,4.26381e-05,1.47057e-05
1024,0.745117,0.74352,0.749632,46,490.062,skip,skip,skip
2048,1.59718,1.59571,1.59968,156,604.062,skip,skip,skip
4096,4.00005,3.99667,4.00304,568,1024.06,skip,skip,skip
