seq_len,mean_ms,min_ms,max_ms,workspace_MB,peak_MB,max_abs_err
128,0.233616,0.232736,0.235104,5.75,446.062,skip
256,0.496992,0.495584,0.498304,11.5,452.062,skip
512,1.43124,1.42906,1.43488,23,466.062,skip
1024,4.1347,4.12877,4.14579,46,490.062,skip
2048,8.85057,7.5897,9.23232,92,540.062,skip
4096,15.9656,15.9564,15.9907,184,640.062,skip
8192,32.7244,32.7206,32.7308,368,840.062,skip
