seq_len,mean_ms,min_ms,max_ms,workspace_MB,peak_MB,max_abs_err,mean_abs_err,mean_rel_err
128,0.168778,0.167968,0.169632,2.25,442.062,0.0104523,2.99115e-05,6.64792e-06
256,0.2264,0.2256,0.227456,5.5,446.062,0.0199661,4.60686e-05,2.28434e-05
512,0.368013,0.367584,0.368736,15,458.062,0.0374398,4.39576e-05,1.38828e-05
1024,0.992915,0.990976,0.9968,46,490.062,skip,skip,skip
2048,2.34385,2.34147,2.34573,156,604.062,skip,skip,skip
4096,5.73829,5.73603,5.73984,568,1024.06,skip,skip,skip
