seq_len,mean_ms,min_ms,max_ms,workspace_MB,peak_MB,max_abs_err
128,0.200205,0.197696,0.20336,2.25,442.062,skip
256,0.292803,0.29024,0.294176,4.5,446.062,skip
512,0.499107,0.496128,0.500928,9,452.062,skip
1024,0.930525,0.927552,0.9328,18,462.062,skip
2048,1.7603,1.75837,1.76349,36,484.062,skip
4096,3.44155,3.44029,3.44486,72,528.062,skip
8192,6.80986,6.80838,6.81168,144,616.062,skip
