seq_len,mean_ms,min_ms,max_ms,workspace_MB,peak_MB,max_abs_err
128,0.160278,0.15936,0.161696,2.25,442.062,2.21189e-09
256,0.214925,0.214368,0.216448,5.5,446.062,1.97906e-09
512,0.345664,0.344192,0.346976,15,458.062,3.37604e-09
1024,0.647315,0.646176,0.649024,46,490.062,skip
2048,1.92429,1.92298,1.92586,156,604.062,skip
4096,5.82998,5.8272,5.83344,568,1024.06,skip
8192,20.6163,17.384,20.9932,2160,2632.06,skip
