seq_len,mean_ms,min_ms,max_ms,workspace_MB,peak_MB,max_abs_err
128,0.210397,0.209568,0.211264,2.75,444.062,skip
256,0.384176,0.382048,0.387392,5.5,446.062,skip
512,0.738963,0.737056,0.741376,11,454.062,skip
1024,1.45719,1.45526,1.45894,22,466.062,skip
2048,2.85859,2.85549,2.86074,44,492.062,skip
4096,5.7744,5.77168,5.77722,88,544.062,skip
8192,9.73743,9.73456,9.74147,176,648.062,skip
