seq_len,mean_ms,min_ms,max_ms,workspace_MB,peak_MB,max_abs_err,mean_abs_err,mean_rel_err
128,0.168355,0.167712,0.170016,2.25,442.062,0.0104523,2.99115e-05,6.64792e-06
256,0.225907,0.224352,0.228256,5.5,446.062,0.0246634,3.72541e-05,1.57636e-05
512,0.367667,0.36704,0.369312,15,458.062,0.0348568,4.63827e-05,1.76219e-05
1024,0.775741,0.774496,0.779648,46,490.062,skip,skip,skip
2048,1.68924,1.68819,1.69085,156,604.062,skip,skip,skip
4096,4.21337,4.21094,4.21648,568,1024.06,skip,skip,skip
